state,year,crop_type,cultivation_area_hectares,cost_of_production_per_hectare,rainfall_mm
Karnataka,2022,Corn,1400,760,630
Karnataka,2022,Barley,1500,780,620
Karnataka,2022,Pulses,1700,780,640
Karnataka,2023,Rice,1550,830,690
Karnataka,2023,Wheat,1350,750,620
Karnataka,2023,Corn,1450,770,640
Karnataka,2023,Soybean,1500,760,650
Karnataka,2023,Mustard,1650,740,630
Karnataka,2024,Rice,1600,840,700
Karnataka,2024,Wheat,1400,760,640
Karnataka,2024,Corn,1500,780,660
Karnataka,2024,Barley,1550,770,650
Karnataka,2024,Pulses,1750,790,670
Gujarat,2018,Rice,1100,800,550
Gujarat,2018,Wheat,1000,690,570
Gujarat,2018,Corn,900,700,520
Gujarat,2018,Barley,950,710,530
Gujarat,2018,Mustard,1000,650,540
Gujarat,2019,Rice,1150,810,560
Gujarat,2019,Wheat,1050,700,540
Gujarat,2019,Corn,950,680,510
Gujarat,2019,Sorghum,850,670,520
Gujarat,2019,Pulses,900,660,550
Gujarat,2020,Rice,1200,820,570
Gujarat,2020,Wheat,1100,710,550
Gujarat,2020,Corn,1000,690,500
Gujarat,2020,Barley,1050,700,530
Gujarat,2020,Pulses,950,680,540
Gujarat,2021,Rice,1250,830,580
Gujarat,2021,Wheat,1150,720,560
Gujarat,2021,Corn,1050,700,510
Gujarat,2021,Mustard,1100,690,550
Gujarat,2021,Pulses,1000,670,520
Gujarat,2022,Rice,1300,840,590
Gujarat,2022,Wheat,1200,730,570
Gujarat,2022,Corn,1100,710,520
Gujarat,2022,Sorghum,950,690,530
Gujarat,2022,Pulses,1050,680,540
Gujarat,2023,Rice,1350,850,600
Gujarat,2023,Wheat,1250,740,580
Gujarat,2023,Corn,1150,720,530
Gujarat,2023,Barley,1000,700,510
Gujarat,2023,Pulses,1100,670,550
Gujarat,2024,Rice,1400,860,610
Gujarat,2024,Wheat,1300,750,590
Gujarat,2024,Corn,1200,730,540
Gujarat,2024,Sorghum,1050,710,520
Gujarat,2024,Pulses,1150,680,560
Andhra_Pradesh,2018,Rice,1500,820,590
Andhra_Pradesh,2018,Wheat,1400,720,560
Andhra_Pradesh,2018,Corn,1300,680,600
Andhra_Pradesh,2018,Soybean,1450,800,620
Andhra_Pradesh,2018,Mustard,1600,790,610
Andhra_Pradesh,2019,Rice,1550,830,600
Andhra_Pradesh,2019,Wheat,1450,740,570
Andhra_Pradesh,2019,Corn,1350,700,590
Andhra_Pradesh,2019,Barley,1600,720,640
Andhra_Pradesh,2019,Pulses,1700,760,580
Andhra_Pradesh,2020,Rice,1600,840,610
Andhra_Pradesh,2020,Wheat,1500,750,590
Andhra_Pradesh,2020,Corn,1400,720,570
Andhra_Pradesh,2020,Soybean,1550,730,600
Andhra_Pradesh,2020,Pulses,1750,770,590
Andhra_Pradesh,2021,Rice,1650,850,620
Andhra_Pradesh,2021,Wheat,1550,760,580
Andhra_Pradesh,2021,Corn,1450,740,590
Andhra_Pradesh,2021,Barley,1700,750,630
Andhra_Pradesh,2021,Pulses,1800,780,600
Andhra_Pradesh,2022,Rice,1700,860,630
Andhra_Pradesh,2022,Wheat,1600,770,590
Andhra_Pradesh,2022,Corn,1500,760,610
Andhra_Pradesh,2022,Soybean,1650,740,620
Andhra_Pradesh,2022,Pulses,1850,800,610
Andhra_Pradesh,2023,Rice,1750,870,640
Andhra_Pradesh,2023,Wheat,1650,780,600
Andhra_Pradesh,2023,Corn,1550,740,620
Andhra_Pradesh,2023,Barley,1800,750,640
Andhra_Pradesh,2023,Pulses,1900,820,630
Andhra_Pradesh,2024,Rice,1800,880,650
Andhra_Pradesh,2024,Wheat,1700,790,610
Andhra_Pradesh,2024,Corn,1600,760,630
Andhra_Pradesh,2024,Soybean,1750,780,640
Andhra_Pradesh,2024,Pulses,1950,830,640
Maharashtra,2018,Rice,1400,780,590
Maharashtra,2018,Wheat,1300,700,550
Maharashtra,2018,Corn,1200,680,540
Maharashtra,2018,Barley,1150,690,520
Maharashtra,2018,Mustard,1250,710,560
Maharashtra,2019,Rice,1450,790,600
Maharashtra,2019,Wheat,1350,710,570
Maharashtra,2019,Corn,1300,690,550
Maharashtra,2019,Sorghum,1200,680,530
Maharashtra,2019,Pulses,1400,720,560
Maharashtra,2020,Rice,1500,800,610
Maharashtra,2020,Wheat,1400,720,580
Maharashtra,2020,Corn,1350,700,560
Maharashtra,2020,Barley,1300,710,550
Maharashtra,2020,Mustard,1450,730,590
Maharashtra,2021,Rice,1550,810,620
Maharashtra,2021,Wheat,1450,740,600
Maharashtra,2021,Corn,1400,720,570
Maharashtra,2021,Mustard,1500,740,590
Maharashtra,2021,Pulses,1550,750,610
Maharashtra,2022,Rice,1600,820,630
Maharashtra,2022,Wheat,1500,750,590
Maharashtra,2022,Corn,1450,740,580
Maharashtra,2022,Barley,1400,730,570
Maharashtra,2022,Pulses,1600,760,620
Maharashtra,2023,Rice,1650,830,640
Maharashtra,2023,Wheat,1550,760,610
Maharashtra,2023,Corn,1500,750,590
Maharashtra,2023,Barley,1450,740,580
Maharashtra,2023,Pulses,1650,780,630
Maharashtra,2024,Rice,1700,840,650
Maharashtra,2024,Wheat,1600,770,620
Maharashtra,2024,Corn,1550,760,600
Maharashtra,2024,Barley,1500,750,580
Maharashtra,2024,Pulses,1700,790,640
West_Bengal,2018,Rice,1350,810,570
West_Bengal,2018,Wheat,1250,720,550
West_Bengal,2018,Corn,1150,690,540
West_Bengal,2018,Barley,1100,680,520
West_Bengal,2018,Mustard,1200,700,550
West_Bengal,2019,Rice,1400,820,580
West_Bengal,2019,Wheat,1300,740,570
West_Bengal,2019,Corn,1200,710,550
West_Bengal,2019,Sorghum,1150,690,540
West_Bengal,2019,Pulses,1300,670,560
West_Bengal,2020,Rice,1450,830,590
West_Bengal,2020,Wheat,1350,750,580
West_Bengal,2020,Corn,1250,720,560
West_Bengal,2020,Barley,1200,710,550
West_Bengal,2020,Pulses,1350,680,570
West_Bengal,2021,Rice,1500,840,600
West_Bengal,2021,Wheat,1400,760,590
West_Bengal,2021,Corn,1300,740,570
West_Bengal,2021,Mustard,1350,720,580
West_Bengal,2021,Pulses,1400,690,570
West_Bengal,2022,Rice,1550,850,610
West_Bengal,2022,Wheat,1450,770,600
West_Bengal,2022,Corn,1350,750,580
West_Bengal,2022,Barley,1300,740,570
West_Bengal,2022,Pulses,1450,700,580
West_Bengal,2023,Rice,1600,860,620
West_Bengal,2023,Wheat,1500,780,610
West_Bengal,2023,Corn,1400,760,590
West_Bengal,2023,Mustard,1450,740,580
West_Bengal,2023,Pulses,1500,720,590
West_Bengal,2024,Rice,1650,870,630
West_Bengal,2024,Wheat,1550,790,620
West_Bengal,2024,Corn,1450,770,600
West_Bengal,2024,Barley,1400,740,580
West_Bengal,2024,Pulses,1550,740,600
Uttar_Pradesh,2018,Rice,1400,750,600
Uttar_Pradesh,2018,Wheat,1600,720,580
Uttar_Pradesh,2018,Corn,1300,700,540
Uttar_Pradesh,2018,Barley,1200,680,500
Uttar_Pradesh,2018,Pulses,1500,600,450
Uttar_Pradesh,2019,Rice,1450,760,610
Uttar_Pradesh,2019,Wheat,1650,740,590
Uttar_Pradesh,2019,Corn,1350,710,550
Uttar_Pradesh,2019,Mustard,1550,720,580
Uttar_Pradesh,2019,Pulses,1550,620,460
Uttar_Pradesh,2020,Rice,1500,770,620
Uttar_Pradesh,2020,Wheat,1700,760,600
Uttar_Pradesh,2020,Corn,1400,720,560
Uttar_Pradesh,2020,Soybean,1600,740,580
Uttar_Pradesh,2020,Pulses,1600,630,470
Uttar_Pradesh,2021,Rice,1550,780,630
Uttar_Pradesh,2021,Wheat,1750,780,610
Uttar_Pradesh,2021,Corn,1450,730,570
Uttar_Pradesh,2021,Barley,1300,700,520
Uttar_Pradesh,2021,Pulses,1650,640,480
Uttar_Pradesh,2022,Rice,1600,790,640
Uttar_Pradesh,2022,Wheat,1800,800,620
Uttar_Pradesh,2022,Corn,1500,740,580
Uttar_Pradesh,2022,Mustard,1650,750,590
Uttar_Pradesh,2022,Pulses,1700,650,490
Uttar_Pradesh,2023,Rice,1650,800,650
Uttar_Pradesh,2023,Wheat,1850,820,640
Uttar_Pradesh,2023,Corn,1550,750,590
Uttar_Pradesh,2023,Barley,1350,710,540
Uttar_Pradesh,2023,Pulses,1750,660,500
Uttar_Pradesh,2024,Rice,1700,810,660
Uttar_Pradesh,2024,Wheat,1900,830,650
Uttar_Pradesh,2024,Corn,1600,760,600
Uttar_Pradesh,2024,Soybean,1700,780,620
Uttar_Pradesh,2024,Pulses,1800,670,510
Rajasthan,2018,Rice,1200,700,570
Rajasthan,2018,Wheat,1400,680,560
Rajasthan,2018,Corn,1100,650,540
Rajasthan,2018,Barley,1300,660,550
Rajasthan,2018,Pulses,1300,620,480
Rajasthan,2019,Rice,1250,710,580
Rajasthan,2019,Wheat,1450,690,570
Rajasthan,2019,Corn,1150,660,550
Rajasthan,2019,Mustard,1500,670,540
Rajasthan,2019,Pulses,1400,640,490
Rajasthan,2020,Rice,1300,720,590
Rajasthan,2020,Wheat,1500,700,580
Rajasthan,2020,Corn,1200,670,540
Rajasthan,2020,Barley,1350,680,550
Rajasthan,2020,Pulses,1450,650,500
Rajasthan,2021,Rice,1350,730,600
Rajasthan,2021,Wheat,1550,710,590
Rajasthan,2021,Corn,1250,680,560
Rajasthan,2021,Mustard,1550,700,550
Rajasthan,2021,Pulses,1500,660,480
Rajasthan,2022,Rice,1400,740,610
Rajasthan,2022,Wheat,1600,720,600
Rajasthan,2022,Corn,1300,690,570
Rajasthan,2022,Barley,1400,700,580
Rajasthan,2022,Pulses,1550,670,490
Rajasthan,2023,Rice,1450,750,620
Rajasthan,2023,Wheat,1650,740,610
Rajasthan,2023,Corn,1350,710,580
Rajasthan,2023,Mustard,1600,730,590
Rajasthan,2023,Pulses,1600,680,500
Rajasthan,2024,Rice,1500,760,630
Rajasthan,2024,Wheat,1700,750,620
Rajasthan,2024,Corn,1400,720,590
Rajasthan,2024,Barley,1450,710,580
Rajasthan,2024,Pulses,1650,690,510
